d_name,d_email,d_phone,d_funds_allocated,d_yearly_budget
Neonatology and Infectious Diseases Ward,neonatologyandinfectiousdiseasesward@example.com,(481)985-0380x98641,165432,597165
Urology and Gynecology Unit,urologyandgynecologyunit@example.com,+1-945-428-0986x2690,122870,582947
Gynecology and Neurology Clinic,gynecologyandneurologyclinic@example.com,+1-207-640-9153x16794,146618,1488078
Ophthalmology Clinic,ophthalmologyclinic@example.com,7469072536,115356,1155021
Immunology and Endocrinology Center,immunologyandendocrinologycenter@example.com,790-547-3626x83108,118371,967664
Neurology and Radiology Institute,neurologyandradiologyinstitute@example.com,976-348-8476,93767,1701579
Neurology and Urology Department,neurologyandurologydepartment@example.com,(289)426-9644x576,160724,1624285
Obstetrics and Immunology Division,obstetricsandimmunologydivision@example.com,001-688-935-8840x987,55104,1461325
Anesthesiology Clinic,anesthesiologyclinic@example.com,001-293-438-5124x27224,67585,820071
Radiology Ward,radiologyward@example.com,(774)490-0236x592,79358,747616
Pediatrics and Neurology Department,pediatricsandneurologydepartment@example.com,(754)234-4245x127,134614,1429836
Radiology Department,radiologydepartment@example.com,001-415-346-7978x828,63178,830750
Ophthalmology and Psychiatry Unit,ophthalmologyandpsychiatryunit@example.com,590.391.4349x006,180486,831815
Gastroenterology Division,gastroenterologydivision@example.com,6994497691,167449,702083
Neurology and Pediatrics Ward,neurologyandpediatricsward@example.com,7856133625,89950,1381998
Dermatology Center,dermatologycenter@example.com,8912798514,118216,1629657
Immunology and Rehabilitation Clinic,immunologyandrehabilitationclinic@example.com,001-388-543-2536,112892,1006671
Gastroenterology and Rheumatology Clinic,gastroenterologyandrheumatologyclinic@example.com,001-950-739-6442x0571,87087,585317
Pathology Institute,pathologyinstitute@example.com,+1-382-927-5871,136451,1883510
Urology and Gastroenterology Division,urologyandgastroenterologydivision@example.com,+1-377-484-7222x1456,156080,1093117
Pulmonology and Nephrology Center,pulmonologyandnephrologycenter@example.com,+1-270-309-5450x5788,153271,688521
Gynecology and Infectious Diseases Division,gynecologyandinfectiousdiseasesdivision@example.com,676.405.6418,77164,1581220
Radiology and Neurology Unit,radiologyandneurologyunit@example.com,(925)575-7938x37444,120166,792550
Immunology and Trauma Clinic,immunologyandtraumaclinic@example.com,485.394.3979x8295,91356,1685585
Ophthalmology and Endocrinology Institute,ophthalmologyandendocrinologyinstitute@example.com,001-201-652-8075x123,125890,1151273
Dermatology and Neonatology Clinic,dermatologyandneonatologyclinic@example.com,+1-254-302-9862x9352,130619,1788336
Obstetrics and Psychiatry Division,obstetricsandpsychiatrydivision@example.com,304.664.5939x8027,105094,1889456
Pulmonology and Neurology Center,pulmonologyandneurologycenter@example.com,283.436.8717,101465,1687131
Anesthesiology and Emergency Division,anesthesiologyandemergencydivision@example.com,577-333-8134,112690,586042
Emergency and Orthopedics Center,emergencyandorthopedicscenter@example.com,352.238.3577,189099,1928385
Gynecology and Pediatrics Unit,gynecologyandpediatricsunit@example.com,649.360.2810,59299,1982386
Gastroenterology and Emergency Department,gastroenterologyandemergencydepartment@example.com,(848)987-9126x3184,195515,824177
Emergency and Psychiatry Division,emergencyandpsychiatrydivision@example.com,+1-257-939-0603,110477,1085639
Ophthalmology and Obstetrics Institute,ophthalmologyandobstetricsinstitute@example.com,+1-245-754-2129x15150,151236,1033806
Immunology Clinic,immunologyclinic@example.com,(299)934-6030,96185,742826
Dermatology Department,dermatologydepartment@example.com,8863551419,195363,1756167
Hematology and Oncology Clinic,hematologyandoncologyclinic@example.com,+1-285-805-5949x846,193182,1145527
Urology and Pulmonology Department,urologyandpulmonologydepartment@example.com,734-703-9875,149270,1310113
Endocrinology and Pathology Division,endocrinologyandpathologydivision@example.com,(846)677-2292x285,180032,1551216
Gynecology Department,gynecologydepartment@example.com,+1-661-473-0620,176635,1390890
Infectious Diseases Institute,infectiousdiseasesinstitute@example.com,763.702.6110x77145,165283,507319
Rehabilitation and Trauma Unit,rehabilitationandtraumaunit@example.com,(221)317-8769x654,176900,1445994
Endocrinology Unit,endocrinologyunit@example.com,789-787-6006x065,164541,1415466
Rheumatology and Gastroenterology Clinic,rheumatologyandgastroenterologyclinic@example.com,623.298.0316x15221,53974,1691017
Pulmonology and Gastroenterology Department,pulmonologyandgastroenterologydepartment@example.com,960-765-4653,176953,1508402
Hematology and Urology Department,hematologyandurologydepartment@example.com,7108685095,120363,634529
Cardiology Institute,cardiologyinstitute@example.com,001-666-367-0440,67323,1019582
Pediatrics Division,pediatricsdivision@example.com,+1-867-588-9615x464,123532,1920273
Dermatology and Pediatrics Clinic,dermatologyandpediatricsclinic@example.com,921-984-1321x9207,80504,1492587
Neurology and Emergency Division,neurologyandemergencydivision@example.com,001-599-866-6771x80602,177984,1540468
Radiology Division,radiologydivision@example.com,+1-547-522-2179x14393,105064,905071
Infectious Diseases and Urology Institute,infectiousdiseasesandurologyinstitute@example.com,+1-984-998-4698x76193,149976,1639694
Surgery and Radiology Department,surgeryandradiologydepartment@example.com,5025875760,137523,1760382
Orthopedics and Obstetrics Institute,orthopedicsandobstetricsinstitute@example.com,+1-598-337-5309,122966,716642
Urology Center,urologycenter@example.com,001-475-682-9469x57150,161015,569726
Pathology and Pulmonology Clinic,pathologyandpulmonologyclinic@example.com,+1-603-729-2219x78063,66322,1793650
Orthopedics and Nephrology Ward,orthopedicsandnephrologyward@example.com,2987549404,158419,1450976
Pathology Unit,pathologyunit@example.com,329-687-1010,108377,1880383
Pathology and Neurology Department,pathologyandneurologydepartment@example.com,2745407969,144819,1414314
Rheumatology and Gynecology Division,rheumatologyandgynecologydivision@example.com,8308060330,180357,683356
Anesthesiology Division,anesthesiologydivision@example.com,259.224.0516,65957,1806866
Orthopedics Center,orthopedicscenter@example.com,305.886.1903x9626,127699,962037
Emergency Clinic,emergencyclinic@example.com,724.325.3067x71492,86311,1153849
Trauma and Nephrology Unit,traumaandnephrologyunit@example.com,(598)991-8146,104248,889926
Neonatology Ward,neonatologyward@example.com,(440)268-1203x0201,93194,1325500
Cardiology Unit,cardiologyunit@example.com,(344)211-7402x61963,59390,1391122
Neurology and Cardiology Clinic,neurologyandcardiologyclinic@example.com,(360)881-0177,54857,996615
Pathology and Dermatology Unit,pathologyanddermatologyunit@example.com,001-353-891-0986x6317,186372,1513754
Surgery and Pulmonology Center,surgeryandpulmonologycenter@example.com,4699858859,169144,1274876
Hematology Unit,hematologyunit@example.com,339-225-4433,138107,1255636
Obstetrics Clinic,obstetricsclinic@example.com,204.942.4737x80422,184176,1838961
Pediatrics and Immunology Division,pediatricsandimmunologydivision@example.com,240-519-7333,153880,775582
Gastroenterology Department,gastroenterologydepartment@example.com,9332389183,156390,686157
Psychiatry Ward,psychiatryward@example.com,969-732-4685x863,98036,922201
Cardiology Ward,cardiologyward@example.com,893.219.3664,185121,1545108
Neurology and Gynecology Division,neurologyandgynecologydivision@example.com,(910)368-4047x32139,59112,1262931
Urology Clinic,urologyclinic@example.com,965.505.2912x350,151543,1148712
Psychiatry Center,psychiatrycenter@example.com,001-889-282-6393x4294,170881,1125026
Endocrinology Institute,endocrinologyinstitute@example.com,438-346-8078x9922,112817,1591880
Rheumatology and Emergency Center,rheumatologyandemergencycenter@example.com,001-224-264-8690x54464,144988,738399
Oncology and Infectious Diseases Institute,oncologyandinfectiousdiseasesinstitute@example.com,984.519.1805,168130,1018942
Anesthesiology and Emergency Clinic,anesthesiologyandemergencyclinic@example.com,+1-897-330-6124x101,134798,869518
Neonatology Division,neonatologydivision@example.com,(926)974-2717,157330,1491098
Rheumatology and Dermatology Institute,rheumatologyanddermatologyinstitute@example.com,496.925.9232,56697,1582496
Orthopedics and Trauma Institute,orthopedicsandtraumainstitute@example.com,(755)837-7680x35320,80724,610719
Pediatrics and Pathology Institute,pediatricsandpathologyinstitute@example.com,001-516-949-8726x52242,190400,565980
Hematology and Ophthalmology Clinic,hematologyandophthalmologyclinic@example.com,824-366-8966,51336,1981462
Hematology and Infectious Diseases Center,hematologyandinfectiousdiseasescenter@example.com,912-891-0122,56814,1883161
Anesthesiology and Gastroenterology Ward,anesthesiologyandgastroenterologyward@example.com,8266989010,184752,1699834
Psychiatry and Rheumatology Division,psychiatryandrheumatologydivision@example.com,707-253-2377x549,80091,537623
Pathology and Immunology Division,pathologyandimmunologydivision@example.com,(636)369-6172,152646,696425
Gastroenterology Clinic,gastroenterologyclinic@example.com,501.878.3031,97526,830235
Oncology and Neonatology Center,oncologyandneonatologycenter@example.com,001-964-619-8352x874,58515,1715902
Trauma Ward,traumaward@example.com,001-641-947-6917,68501,1895376
Oncology and Cardiology Center,oncologyandcardiologycenter@example.com,9344526557,114674,1439759
Neonatology and Pathology Center,neonatologyandpathologycenter@example.com,(998)810-3567x879,119442,1154024
Pediatrics and Emergency Division,pediatricsandemergencydivision@example.com,854-449-4037,139583,670846
Psychiatry Institute,psychiatryinstitute@example.com,(748)967-6476,64874,873998
Dermatology Clinic,dermatologyclinic@example.com,700.257.7674,76222,549046
Pulmonology Unit,pulmonologyunit@example.com,770-236-4631x839,66667,1795810
Surgery and Neonatology Department,surgeryandneonatologydepartment@example.com,974.901.3917x71710,179069,1051644
Trauma and Oncology Department,traumaandoncologydepartment@example.com,258.749.4972,155796,550745
Dermatology and Surgery Ward,dermatologyandsurgeryward@example.com,+1-208-205-2716x908,182712,1901330
Ophthalmology and Emergency Department,ophthalmologyandemergencydepartment@example.com,(395)207-4876,164096,912253
Cardiology and Gynecology Department,cardiologyandgynecologydepartment@example.com,214.840.0459x1376,91203,1457950
Gastroenterology and Hematology Ward,gastroenterologyandhematologyward@example.com,303-497-1847,160506,907734
Surgery Center,surgerycenter@example.com,(945)462-6365,67069,916114
Emergency and Trauma Center,emergencyandtraumacenter@example.com,551.841.3535,183819,1917322
Trauma Division,traumadivision@example.com,888.921.8316x959,50950,825151
Neurology and Gastroenterology Department,neurologyandgastroenterologydepartment@example.com,909.222.0401x18173,64873,1794742
Ophthalmology and Infectious Diseases Unit,ophthalmologyandinfectiousdiseasesunit@example.com,001-883-984-6124x7986,64230,535405
Pulmonology and Immunology Institute,pulmonologyandimmunologyinstitute@example.com,001-783-411-6620x7810,172191,975843
Rheumatology Clinic,rheumatologyclinic@example.com,916-846-0657x7832,77099,1104607
Radiology and Gynecology Department,radiologyandgynecologydepartment@example.com,320.489.5222x1114,90685,1766810
Neonatology and Pediatrics Center,neonatologyandpediatricscenter@example.com,608-236-5232x237,154606,1164463
Neurology and Neonatology Center,neurologyandneonatologycenter@example.com,+1-658-568-5193x84577,69024,1130233
Rehabilitation Division,rehabilitationdivision@example.com,681.953.5215x68602,139660,525859
Hematology and Cardiology Ward,hematologyandcardiologyward@example.com,(611)420-2898,165807,1262217
Neurology and Pathology Division,neurologyandpathologydivision@example.com,(240)880-0761x809,180239,1958499
Ophthalmology and Emergency Center,ophthalmologyandemergencycenter@example.com,(462)851-8672x6362,98567,1361381
Trauma Unit,traumaunit@example.com,(809)370-6185,151046,1261681
Neurology and Urology Clinic,neurologyandurologyclinic@example.com,001-256-392-5534x6901,110806,1452275
Endocrinology Ward,endocrinologyward@example.com,+1-953-432-7823x6617,194858,1956736
Dermatology Institute,dermatologyinstitute@example.com,6619566825,150820,1625102
Nephrology and Pathology Clinic,nephrologyandpathologyclinic@example.com,2959645072,191554,1561110
Hematology and Nephrology Institute,hematologyandnephrologyinstitute@example.com,+1-564-842-5150x535,154109,1758223
Dermatology and Pathology Unit,dermatologyandpathologyunit@example.com,600-594-2586,185254,1863277
Trauma and Surgery Division,traumaandsurgerydivision@example.com,+1-773-493-8824x0720,150074,588050
Orthopedics and Ophthalmology Center,orthopedicsandophthalmologycenter@example.com,3773365489,105407,1469273
Cardiology Center,cardiologycenter@example.com,208.421.8696x296,123890,1427311
Pathology and Trauma Unit,pathologyandtraumaunit@example.com,(949)704-6318x147,159350,1285963
Gastroenterology and Emergency Clinic,gastroenterologyandemergencyclinic@example.com,7907031666,197545,1819804
Gynecology and Anesthesiology Unit,gynecologyandanesthesiologyunit@example.com,419-548-9744,138366,1865627
Trauma and Infectious Diseases Center,traumaandinfectiousdiseasescenter@example.com,981.354.9736x0525,172860,1491334
Infectious Diseases and Rehabilitation Institute,infectiousdiseasesandrehabilitationinstitute@example.com,878-353-9645x037,195487,918497
Surgery and Dermatology Ward,surgeryanddermatologyward@example.com,+1-787-895-8552x852,171779,1280652
Rehabilitation and Hematology Unit,rehabilitationandhematologyunit@example.com,794.394.9419x88535,156280,1737926
Cardiology and Ophthalmology Clinic,cardiologyandophthalmologyclinic@example.com,740.763.4593,63809,928719
Cardiology and Endocrinology Ward,cardiologyandendocrinologyward@example.com,336.864.3724,59293,1787574
Dermatology Division,dermatologydivision@example.com,955-510-2907x41501,145762,590115
Psychiatry and Dermatology Clinic,psychiatryanddermatologyclinic@example.com,(223)935-9532x593,54397,525629
Rehabilitation and Gastroenterology Ward,rehabilitationandgastroenterologyward@example.com,251.378.3506,107809,1839129
Anesthesiology and Trauma Center,anesthesiologyandtraumacenter@example.com,242.392.3952x408,74687,1419951
Neurology Department,neurologydepartment@example.com,(464)777-8743,94481,644688
Gastroenterology and Surgery Ward,gastroenterologyandsurgeryward@example.com,642-966-8865,76538,1139580
Nephrology Department,nephrologydepartment@example.com,001-243-296-2103x8266,171426,1569827
Pathology and Neurology Unit,pathologyandneurologyunit@example.com,+1-641-610-5720x90557,107884,1627875
Immunology and Cardiology Ward,immunologyandcardiologyward@example.com,811-663-0410,71558,641725
Cardiology and Emergency Unit,cardiologyandemergencyunit@example.com,576-435-6883x8572,89399,1086503
Radiology and Cardiology Ward,radiologyandcardiologyward@example.com,(897)741-4108,100698,1011278
Pulmonology Ward,pulmonologyward@example.com,+1-221-688-7125,161839,756480
Pathology and Rehabilitation Division,pathologyandrehabilitationdivision@example.com,001-373-289-4176x5722,115423,1036404
Urology and Gastroenterology Clinic,urologyandgastroenterologyclinic@example.com,+1-531-306-0447x88344,118001,1248784
