donation_id,d_date,d_amount,d_method,donor_id,p_id
51,2023-01-29,85661,credit_card,414,367
52,2024-09-18,55329,cash,356,277
53,2022-08-11,40051,standing_order,339,16
54,2024-05-28,69442,standing_order,367,70
55,2023-11-24,17801,check,279,278
56,2025-01-24,39862,standing_order,402,356
57,2023-07-24,28455,bank_transfer,242,5
58,2021-09-04,96537,cash,483,335
59,2022-08-11,78996,credit_card,326,394
60,2022-08-08,22493,cash,368,229
61,2024-10-07,42822,credit_card,441,173
62,2022-01-08,19710,credit_card,456,184
63,2024-09-05,92119,cash,462,57
64,2024-03-03,21109,credit_card,446,340
65,2022-11-28,13920,cash,237,317
66,2025-03-16,40119,credit_card,203,199
67,2023-11-04,79545,standing_order,446,139
68,2024-07-25,48420,bank_transfer,287,234
69,2023-09-18,66033,check,455,318
70,2022-06-06,47827,standing_order,243,380
71,2023-04-03,30712,standing_order,447,63
72,2025-02-25,40795,cash,317,185
73,2021-07-10,42928,standing_order,481,393
74,2022-12-18,86748,bank_transfer,265,317
75,2024-05-14,63721,cash,360,20
76,2024-08-28,55617,bank_transfer,359,32
77,2021-09-15,86848,cash,473,207
78,2024-01-19,93330,check,207,365
79,2023-04-06,84552,credit_card,275,287
80,2023-07-10,69234,credit_card,372,220
81,2025-03-01,66545,check,224,50
82,2024-12-16,43465,standing_order,348,188
83,2023-01-25,50601,standing_order,298,216
84,2025-02-04,17516,cash,352,4
85,2024-09-15,5123,check,399,298
86,2022-12-08,49256,check,355,276
87,2022-10-16,53188,standing_order,381,152
88,2022-09-10,4558,standing_order,396,305
89,2024-02-21,18295,bank_transfer,230,168
90,2023-11-27,76325,cash,352,139
91,2022-07-31,30274,standing_order,302,156
92,2021-09-29,84683,standing_order,201,3
93,2024-05-09,47136,credit_card,460,239
94,2022-12-12,80885,bank_transfer,297,325
95,2024-02-28,52301,bank_transfer,233,332
96,2022-07-12,1508,standing_order,280,380
97,2023-02-22,59767,standing_order,241,74
98,2023-10-24,44181,cash,429,36
99,2024-10-30,98493,check,439,367
100,2025-01-12,36960,standing_order,412,20
101,2022-05-29,8859,credit_card,268,29
102,2025-01-06,87274,credit_card,398,394
103,2021-08-18,4774,cash,300,46
104,2022-02-18,68158,bank_transfer,418,397
105,2022-11-30,88359,credit_card,348,65
106,2023-07-25,78877,credit_card,497,78
107,2024-07-19,25956,check,272,285
108,2025-02-09,30145,bank_transfer,280,288
109,2023-07-14,69333,credit_card,472,65
110,2023-07-11,77848,bank_transfer,205,110
111,2023-07-04,57025,cash,397,297
112,2022-08-25,99920,standing_order,345,150
113,2025-03-07,17959,bank_transfer,245,186
114,2023-02-20,11921,credit_card,429,20
115,2021-10-21,22376,cash,365,34
116,2022-07-06,71284,bank_transfer,251,356
117,2023-04-03,89266,check,231,58
118,2021-09-04,12003,check,433,31
119,2022-12-28,31941,standing_order,206,299
120,2021-10-06,13232,cash,406,110
121,2023-04-19,86952,cash,450,170
122,2022-11-11,98717,credit_card,260,127
123,2023-08-13,55143,bank_transfer,269,273
124,2022-09-27,84032,bank_transfer,295,284
125,2023-10-06,27174,cash,349,394
126,2022-08-01,33699,check,327,42
127,2021-12-26,33201,credit_card,373,92
128,2023-08-04,11077,bank_transfer,287,326
129,2022-03-29,8398,cash,483,223
130,2024-05-08,83354,check,407,191
131,2024-04-18,55955,cash,399,390
132,2023-08-31,97747,check,257,109
133,2022-06-14,6925,check,260,274
134,2023-01-04,98293,standing_order,381,133
135,2024-09-23,40583,credit_card,380,141
136,2022-11-26,40365,cash,477,35
137,2022-04-11,68050,cash,310,68
138,2023-12-07,99256,credit_card,468,128
139,2024-12-25,42829,standing_order,409,33
140,2023-01-07,32647,bank_transfer,254,244
141,2022-12-13,70971,bank_transfer,333,139
142,2022-04-26,58180,credit_card,392,378
143,2022-11-23,10883,credit_card,449,185
144,2023-12-11,45850,credit_card,343,257
145,2022-05-15,81238,bank_transfer,307,232
146,2025-03-14,46202,cash,379,249
147,2024-01-17,91218,bank_transfer,232,84
148,2023-01-20,5739,check,314,362
149,2021-11-16,25207,cash,355,364
150,2024-07-30,37447,check,427,200
151,2023-07-28,75701,cash,494,207
152,2023-03-17,7417,credit_card,255,307
153,2024-01-05,50891,credit_card,347,40
154,2024-11-13,50132,credit_card,379,149
155,2021-08-10,72973,cash,367,304
156,2024-07-07,80441,credit_card,402,350
157,2021-09-21,491,credit_card,368,336
158,2025-03-19,72455,credit_card,396,181
159,2023-05-25,5890,cash,209,52
160,2023-07-27,91315,bank_transfer,381,270
161,2021-09-12,69293,bank_transfer,383,316
162,2025-03-09,37697,bank_transfer,273,363
163,2024-10-26,39504,credit_card,474,9
164,2021-10-06,46189,credit_card,314,45
165,2023-02-12,83512,bank_transfer,281,37
166,2024-05-22,89213,bank_transfer,318,218
167,2024-10-13,13467,bank_transfer,325,135
168,2022-05-12,46069,bank_transfer,389,328
169,2024-01-18,11261,cash,481,110
170,2024-12-20,32382,check,407,310
171,2022-10-12,72642,standing_order,325,171
172,2024-05-03,46161,credit_card,208,252
173,2023-02-17,81835,cash,440,3
174,2024-11-06,68398,standing_order,415,105
175,2023-04-09,25081,standing_order,475,343
176,2024-12-16,203,credit_card,201,334
177,2022-06-23,22808,credit_card,257,204
178,2021-11-03,52296,check,307,318
179,2021-09-24,14059,standing_order,290,170
180,2023-03-03,42987,credit_card,242,135
181,2024-03-06,69651,check,310,44
182,2024-10-09,96046,bank_transfer,229,38
183,2021-10-21,82122,bank_transfer,466,200
184,2022-03-22,34346,standing_order,292,370
185,2025-03-16,77885,check,289,128
186,2021-08-21,35630,check,448,54
187,2021-09-24,8561,bank_transfer,380,7
188,2022-09-12,30503,standing_order,252,203
189,2022-12-10,58679,check,243,153
190,2024-08-22,60316,check,259,11
191,2021-09-14,42848,standing_order,209,158
192,2023-01-21,64002,bank_transfer,390,191
193,2024-12-01,81946,bank_transfer,440,209
194,2022-10-09,82676,check,402,210
195,2021-08-29,81467,credit_card,428,268
196,2023-09-27,68213,credit_card,283,110
197,2024-12-02,20954,credit_card,337,220
198,2021-08-04,92082,cash,405,385
199,2024-07-09,20072,credit_card,442,297
200,2023-03-02,4297,bank_transfer,471,384
201,2024-02-10,59361,bank_transfer,420,187
202,2025-02-06,79717,cash,279,32
203,2024-05-09,74652,check,461,61
204,2023-06-13,6210,cash,379,108
205,2023-11-24,21762,credit_card,468,294
206,2021-12-13,94872,standing_order,421,250
207,2024-02-19,77464,bank_transfer,267,221
208,2024-03-02,78290,cash,403,123
209,2022-03-18,76326,bank_transfer,449,186
210,2023-01-22,682,bank_transfer,276,262
211,2023-11-20,33411,cash,387,311
212,2024-06-17,84667,cash,450,17
213,2023-09-25,15484,cash,476,196
214,2024-08-25,62853,bank_transfer,445,40
215,2023-11-23,44817,standing_order,244,115
216,2022-12-23,12102,bank_transfer,415,250
217,2025-02-10,82332,bank_transfer,402,369
218,2024-11-26,80097,bank_transfer,261,267
219,2022-03-07,19381,cash,261,119
220,2023-09-21,2987,check,207,304
221,2021-09-05,39612,bank_transfer,450,49
222,2024-09-11,90641,credit_card,448,123
223,2023-11-05,35700,check,462,332
224,2022-01-25,62063,check,357,260
225,2022-10-08,98988,cash,293,15
226,2024-12-20,47651,credit_card,271,97
227,2021-10-18,15142,check,475,385
228,2022-10-19,61315,bank_transfer,394,19
229,2025-01-31,37720,cash,351,256
230,2023-08-14,83806,check,331,252
231,2025-02-24,48492,cash,441,8
232,2023-02-24,60139,standing_order,321,1
233,2023-07-11,44635,bank_transfer,214,139
234,2025-02-15,83636,credit_card,469,245
235,2023-06-15,91708,cash,362,15
236,2023-11-12,1284,standing_order,363,55
237,2022-02-05,34495,cash,372,242
238,2022-12-11,15032,check,358,67
239,2022-01-14,85227,standing_order,270,22
240,2024-01-29,17410,check,431,277
241,2023-09-30,75072,check,228,122
242,2025-02-10,54697,standing_order,206,149
243,2023-07-14,73540,standing_order,407,228
244,2024-07-08,33263,credit_card,468,198
245,2025-01-05,76847,cash,201,257
246,2024-04-29,53363,standing_order,208,179
247,2022-09-20,10927,bank_transfer,359,44
248,2022-07-15,72906,check,432,261
249,2023-02-28,43914,bank_transfer,238,36
250,2024-07-14,53334,credit_card,228,100
251,2022-02-18,51397,cash,390,215
252,2022-08-08,22671,standing_order,257,280
253,2022-11-10,11469,check,437,304
254,2023-02-12,55186,check,372,388
255,2022-11-11,69763,check,248,248
256,2024-12-30,66035,bank_transfer,380,389
257,2024-04-21,9913,check,478,256
258,2024-04-27,49514,credit_card,347,137
259,2022-04-16,95172,credit_card,304,137
260,2024-12-03,32415,credit_card,274,20
261,2024-11-20,62417,check,261,344
262,2023-07-13,76469,credit_card,331,89
263,2021-08-04,75628,cash,242,377
264,2022-05-27,34817,bank_transfer,405,265
265,2022-02-07,91711,credit_card,307,374
266,2022-05-11,57978,credit_card,492,87
267,2024-08-17,97576,check,499,243
268,2024-11-09,18854,cash,305,45
269,2023-08-17,49558,check,221,236
270,2021-08-15,55182,cash,290,108
271,2021-10-10,53278,credit_card,355,96
272,2022-06-06,86462,credit_card,330,136
273,2023-05-29,9397,credit_card,334,252
274,2023-01-04,44214,check,298,171
275,2023-11-30,33241,check,431,217
276,2024-01-04,40023,cash,317,133
277,2023-04-17,73019,standing_order,249,310
278,2022-11-08,13115,check,395,275
279,2024-11-28,50447,cash,299,33
280,2024-03-19,6100,standing_order,407,357
281,2023-05-07,93767,credit_card,345,131
282,2023-07-13,14874,bank_transfer,429,85
283,2022-11-18,20241,cash,435,34
284,2023-08-10,79466,bank_transfer,243,119
285,2022-09-26,64053,check,442,39
286,2024-03-17,60913,credit_card,448,36
287,2022-01-06,24979,bank_transfer,480,273
288,2023-04-05,64802,credit_card,261,53
289,2024-05-20,38927,bank_transfer,476,320
290,2023-05-31,34027,check,245,62
291,2023-06-09,37372,bank_transfer,421,154
292,2023-01-30,90305,standing_order,341,259
293,2024-09-03,50335,credit_card,401,232
294,2023-03-22,86600,bank_transfer,358,89
295,2024-07-09,92485,credit_card,409,316
296,2022-12-01,91908,cash,312,359
297,2024-11-10,890,cash,388,306
298,2022-05-24,49730,credit_card,432,337
299,2022-12-04,64169,check,440,247
300,2023-12-08,39985,cash,490,267
301,2023-12-04,52626,cash,309,281
302,2024-12-23,15361,standing_order,491,171
303,2021-07-13,12389,credit_card,232,44
304,2023-04-03,35049,standing_order,465,367
305,2023-10-29,41779,bank_transfer,373,346
306,2022-05-13,43047,bank_transfer,382,74
307,2021-08-28,74798,credit_card,327,252
308,2021-10-26,47687,bank_transfer,491,54
309,2024-05-11,89899,cash,423,250
310,2025-02-23,93857,cash,324,42
311,2024-05-19,39692,standing_order,243,268
312,2023-01-18,98275,bank_transfer,453,6
313,2022-09-26,58036,credit_card,251,400
314,2023-03-25,59713,bank_transfer,224,228
315,2022-02-28,94513,bank_transfer,491,22
316,2023-03-02,87906,bank_transfer,421,183
317,2022-11-11,15932,check,314,190
318,2021-08-31,35382,bank_transfer,286,90
319,2024-01-29,89345,credit_card,422,346
320,2024-10-14,47904,bank_transfer,217,198
321,2022-01-16,37162,standing_order,340,278
322,2023-06-05,11931,credit_card,407,25
323,2021-08-26,6125,cash,292,308
324,2022-08-11,72482,check,260,354
325,2024-08-31,88785,standing_order,223,348
326,2021-08-02,69651,standing_order,313,200
327,2023-11-15,4372,check,477,221
328,2023-08-14,89437,check,451,316
329,2024-05-14,86591,bank_transfer,464,353
330,2021-12-22,73443,cash,309,114
331,2022-10-03,19526,standing_order,423,90
332,2021-11-13,74385,credit_card,358,260
333,2022-06-26,33885,credit_card,225,68
334,2022-11-23,44154,standing_order,253,236
335,2022-06-24,50966,check,443,151
336,2022-10-08,48787,standing_order,227,89
337,2022-06-20,2255,credit_card,423,98
338,2024-03-16,16260,check,313,48
339,2022-06-19,60582,check,262,108
340,2022-06-04,98700,bank_transfer,416,123
341,2023-08-12,42228,cash,462,174
342,2024-09-02,68853,standing_order,491,192
343,2021-10-07,26101,credit_card,240,344
344,2022-05-25,84570,bank_transfer,487,99
345,2023-11-06,73123,credit_card,231,367
346,2022-04-06,14629,standing_order,365,165
347,2023-07-28,28741,bank_transfer,280,249
348,2024-01-20,18863,bank_transfer,322,130
349,2024-04-19,81043,check,343,78
350,2023-08-02,86372,credit_card,418,84
351,2024-11-25,36865,standing_order,344,281
352,2021-09-04,83962,credit_card,339,297
353,2021-07-09,23749,bank_transfer,422,85
354,2022-10-11,49142,credit_card,275,46
355,2021-09-23,77811,cash,289,323
356,2023-05-11,93884,standing_order,306,190
357,2021-07-11,49709,cash,351,105
358,2021-12-31,87184,cash,389,398
359,2022-11-24,19917,bank_transfer,431,343
360,2021-11-13,239,bank_transfer,453,217
361,2024-02-06,99384,credit_card,265,34
362,2023-10-28,74716,cash,268,306
363,2022-01-18,20454,credit_card,379,143
364,2025-02-05,98897,check,429,12
365,2021-12-09,46235,bank_transfer,415,369
366,2024-11-23,58516,bank_transfer,347,282
367,2023-05-15,83469,credit_card,389,270
368,2023-07-27,75470,bank_transfer,437,70
369,2022-08-24,12995,credit_card,282,146
370,2024-11-09,75344,standing_order,328,150
371,2024-12-03,81522,cash,255,358
372,2023-01-11,76393,check,337,302
373,2024-10-21,198,bank_transfer,476,287
374,2024-06-06,72949,credit_card,355,326
375,2023-12-28,79360,standing_order,465,282
376,2021-10-30,14878,bank_transfer,222,348
377,2022-02-16,89078,standing_order,260,159
378,2023-07-20,35790,cash,240,338
379,2023-04-21,41569,credit_card,391,362
380,2022-08-08,20141,bank_transfer,385,226
381,2023-04-30,64657,standing_order,452,203
382,2021-08-30,71775,credit_card,356,66
383,2024-02-26,62429,standing_order,228,271
384,2022-05-23,37059,cash,437,396
385,2022-02-11,2901,standing_order,236,389
386,2023-11-04,10821,check,300,242
387,2022-04-19,72934,check,475,215
388,2023-06-12,78337,credit_card,222,326
389,2023-10-06,24837,bank_transfer,277,345
390,2022-03-07,57984,bank_transfer,423,48
391,2024-07-15,85708,bank_transfer,456,27
392,2022-01-06,88875,check,275,400
393,2022-02-28,92176,credit_card,480,273
394,2024-10-28,74753,cash,373,252
395,2022-05-30,325,bank_transfer,392,19
396,2024-01-24,45408,bank_transfer,239,207
397,2022-02-06,56979,cash,487,251
398,2024-02-27,12931,bank_transfer,367,397
399,2023-09-01,56602,standing_order,438,216
400,2024-12-28,63218,check,405,45
